time_period,location,location_name,disease_cases,dewpoint_temperature,evi,max_temperature,mean_temperature,min_temperature,ndvi,rainfall_chirps,rainfall_era5,rainfall_iri,relative_humidity,district,year,month,season_label,population,irs_allocated
2025-11,BzhJzdAGARk,Gihango,410.0,12.8,1.61,22.2,17.31,12.2,0.67,121.53,150.86,196.75,76.35,sFGfRP4wPqe,2025,11,2025,28051.0,0.0
2025-12,BzhJzdAGARk,Gihango,387.0,12.8,1.8,22.8,16.9,11.9,0.7,126.45,330.13,196.75,79.51,sFGfRP4wPqe,2025,12,2025,28051.0,0.0
2026-01,BzhJzdAGARk,Gihango,311.0,12.8,0.84,22.8,17.38,12.5,0.48,87.88,111.57,196.75,76.88,sFGfRP4wPqe,2026,1,2025,28051.0,0.0
2025-11,CSiOPKW1OQP,Karama (Nyagatare),28.0,13.3,2.24,26.3,19.73,12.6,0.76,86.16,69.77,163.99,72.51,JVpVNtso1j1,2025,11,2025,36389.0,0.0
2025-12,CSiOPKW1OQP,Karama (Nyagatare),25.0,13.3,1.77,27.3,19.57,12.1,0.68,132.01,58.22,163.99,72.47,JVpVNtso1j1,2025,12,2025,36389.0,0.0
2026-01,CSiOPKW1OQP,Karama (Nyagatare),40.0,13.3,0.86,27.9,20.62,12.4,0.45,28.34,25.0,163.99,65.52,JVpVNtso1j1,2026,1,2025,36389.0,0.0
2025-11,EritxSJ4SVG,Kabare,434.0,14.7,1.39,28.0,21.23,15.6,0.55,93.62,81.79,112.3,71.08,OmudJVpFUAM,2025,11,2025,43728.0,0.0
2025-12,EritxSJ4SVG,Kabare,423.0,14.7,1.19,28.4,21.02,15.0,0.49,152.27,92.32,112.3,72.25,OmudJVpFUAM,2025,12,2025,43728.0,0.0
2026-01,EritxSJ4SVG,Kabare,802.0,14.7,0.63,30.0,21.78,15.6,0.36,30.93,24.75,112.3,66.79,OmudJVpFUAM,2026,1,2025,43728.0,0.0
2025-11,Fczy0xwaJSy,Bugeshi,14.0,10.5,1.62,20.4,13.85,8.3,0.68,171.97,467.6,193.0,81.23,KMmYr3zS8A6,2025,11,2025,36351.0,0.0
2025-12,Fczy0xwaJSy,Bugeshi,13.0,10.5,1.36,19.8,13.49,8.0,0.69,153.76,317.72,193.0,82.78,KMmYr3zS8A6,2025,12,2025,36351.0,0.0
2026-01,Fczy0xwaJSy,Bugeshi,15.0,10.5,0.71,20.6,13.85,8.3,0.48,90.38,103.04,193.0,76.5,KMmYr3zS8A6,2026,1,2025,36351.0,0.0
2025-11,Gu5PQzqP3oc,Macuba,76.0,14.8,1.66,23.4,19.15,14.6,0.74,161.23,541.51,311.5,77.43,o1WEnRMOFGo,2025,11,2025,34011.0,0.0
2025-12,Gu5PQzqP3oc,Macuba,115.0,14.8,1.91,23.4,18.6,13.9,0.76,162.2,259.17,311.5,79.82,o1WEnRMOFGo,2025,12,2025,34011.0,0.0
2026-01,Gu5PQzqP3oc,Macuba,174.0,14.8,0.9,22.7,18.71,14.4,0.49,95.22,157.59,311.5,78.32,o1WEnRMOFGo,2026,1,2025,34011.0,0.0
