time_period,location,location_name,disease_cases,dewpoint_temperature,evi,max_temperature,mean_temperature,min_temperature,ndvi,rainfall_chirps,rainfall_era5,rainfall_iri,relative_humidity,district,year,month,season_label,population,irs_allocated
2013-01,BzhJzdAGARk,Gihango,54.0,12.4,1.18,24.1,16.5,12.3,0.55,74.49,222.9,97.75,76.9,sFGfRP4wPqe,2013,1,2012,23751.0,0.0
2013-02,BzhJzdAGARk,Gihango,39.0,12.0,1.18,24.1,16.7,11.9,0.67,78.85,184.78,54.0,73.8,sFGfRP4wPqe,2013,2,2012,23751.0,0.0
2013-03,BzhJzdAGARk,Gihango,28.0,12.9,1.18,23.2,16.3,12.2,0.6,217.04,311.44,158.25,80.6,sFGfRP4wPqe,2013,3,2012,23751.0,0.0
2013-04,BzhJzdAGARk,Gihango,21.0,13.0,1.18,22.6,16.0,11.2,0.44,146.58,272.59,117.75,82.5,sFGfRP4wPqe,2013,4,2012,23751.0,0.0
2013-05,BzhJzdAGARk,Gihango,32.0,11.4,1.18,23.4,15.9,11.6,0.69,101.75,108.38,44.75,74.8,sFGfRP4wPqe,2013,5,2012,23751.0,0.0
2013-06,BzhJzdAGARk,Gihango,104.0,9.0,1.18,22.9,16.2,10.8,0.65,17.07,5.84,0.0,62.4,sFGfRP4wPqe,2013,6,2012,23751.0,0.0
2013-07,BzhJzdAGARk,Gihango,166.0,8.0,1.18,22.6,16.3,12.3,0.57,8.28,2.95,0.0,57.9,sFGfRP4wPqe,2013,7,2012,23751.0,0.0
2013-08,BzhJzdAGARk,Gihango,197.0,9.2,1.18,22.8,16.1,12.3,0.52,57.53,39.29,28.0,63.4,sFGfRP4wPqe,2013,8,2013,23751.0,0.0
2013-09,BzhJzdAGARk,Gihango,142.0,11.3,1.18,23.0,15.8,10.6,0.51,120.1,168.99,85.75,75.0,sFGfRP4wPqe,2013,9,2013,23751.0,0.0
2013-10,BzhJzdAGARk,Gihango,156.0,11.4,1.18,23.3,15.7,10.8,0.59,72.68,139.93,58.5,75.5,sFGfRP4wPqe,2013,10,2013,23751.0,0.0
2013-11,BzhJzdAGARk,Gihango,506.0,12.1,1.18,22.6,15.3,11.0,0.47,105.41,256.4,113.75,81.4,sFGfRP4wPqe,2013,11,2013,23751.0,0.0
2013-12,BzhJzdAGARk,Gihango,268.0,12.3,1.18,22.4,15.6,11.7,0.63,131.79,342.49,84.5,80.7,sFGfRP4wPqe,2013,12,2013,23751.0,0.0
2014-01,BzhJzdAGARk,Gihango,262.0,12.1,1.18,23.2,16.1,11.3,0.46,67.77,238.91,141.0,77.3,sFGfRP4wPqe,2014,1,2013,24321.0,0.0
2014-02,BzhJzdAGARk,Gihango,244.0,12.5,1.18,23.9,16.3,12.1,0.57,142.63,290.31,110.75,78.4,sFGfRP4wPqe,2014,2,2013,24321.0,0.0
2014-03,BzhJzdAGARk,Gihango,98.0,12.5,1.18,22.8,16.2,11.6,0.6,155.77,203.63,131.75,78.7,sFGfRP4wPqe,2014,3,2013,24321.0,0.0
2014-04,BzhJzdAGARk,Gihango,79.0,12.5,1.18,23.3,15.9,11.9,0.6,135.56,138.3,118.75,80.2,sFGfRP4wPqe,2014,4,2013,24321.0,0.0
2014-05,BzhJzdAGARk,Gihango,184.0,11.2,1.18,23.4,16.2,12.2,0.6,51.46,66.28,45.0,72.0,sFGfRP4wPqe,2014,5,2013,24321.0,0.0
2014-06,BzhJzdAGARk,Gihango,404.0,10.1,1.18,23.0,16.1,11.2,0.65,43.22,40.85,37.25,67.4,sFGfRP4wPqe,2014,6,2013,24321.0,0.0
2014-07,BzhJzdAGARk,Gihango,264.0,8.9,1.18,23.1,16.1,11.0,0.59,15.49,18.42,18.5,62.3,sFGfRP4wPqe,2014,7,2013,24321.0,0.0
2014-08,BzhJzdAGARk,Gihango,309.0,10.6,1.18,22.3,15.6,11.4,0.45,36.08,96.21,94.5,72.2,sFGfRP4wPqe,2014,8,2014,24321.0,0.0
2014-09,BzhJzdAGARk,Gihango,506.0,11.2,1.18,22.5,15.7,11.5,0.56,89.92,147.69,81.75,74.7,sFGfRP4wPqe,2014,9,2014,24321.0,0.0
2014-10,BzhJzdAGARk,Gihango,841.0,11.8,1.18,23.8,15.9,10.5,0.51,106.65,245.18,263.25,76.6,sFGfRP4wPqe,2014,10,2014,24321.0,0.0
2014-11,BzhJzdAGARk,Gihango,955.0,12.1,1.18,22.9,15.8,11.4,0.58,127.16,211.77,170.5,79.0,sFGfRP4wPqe,2014,11,2014,24321.0,0.0
2014-12,BzhJzdAGARk,Gihango,1015.0,12.1,1.18,23.2,16.0,11.8,0.61,92.26,292.74,221.75,77.8,sFGfRP4wPqe,2014,12,2014,24321.0,0.0
2015-01,BzhJzdAGARk,Gihango,772.0,11.7,1.18,23.7,16.0,11.1,0.59,39.55,250.68,106.75,75.2,sFGfRP4wPqe,2015,1,2014,24807.0,0.0
2015-02,BzhJzdAGARk,Gihango,908.0,12.5,1.18,24.1,16.6,11.3,0.48,103.82,206.6,101.0,76.4,sFGfRP4wPqe,2015,2,2014,24807.0,0.0
2015-03,BzhJzdAGARk,Gihango,475.0,12.4,1.18,25.0,16.6,11.2,0.63,172.82,190.15,69.75,76.0,sFGfRP4wPqe,2015,3,2014,24807.0,0.0
2015-04,BzhJzdAGARk,Gihango,363.0,12.8,1.18,22.9,15.8,11.6,0.64,148.99,289.01,76.75,82.4,sFGfRP4wPqe,2015,4,2014,24807.0,0.0
2015-05,BzhJzdAGARk,Gihango,439.0,12.2,1.18,22.5,16.2,11.5,0.65,115.21,84.47,120.5,77.2,sFGfRP4wPqe,2015,5,2014,24807.0,0.0
2015-06,BzhJzdAGARk,Gihango,1050.0,10.9,1.18,23.3,16.1,12.8,0.69,46.51,81.4,122.25,71.4,sFGfRP4wPqe,2015,6,2014,24807.0,0.0
2015-07,BzhJzdAGARk,Gihango,701.0,9.0,1.18,23.4,16.4,10.8,0.66,15.76,12.81,0.0,61.3,sFGfRP4wPqe,2015,7,2014,24807.0,0.0
2015-08,BzhJzdAGARk,Gihango,429.0,8.5,1.18,23.5,16.9,11.1,0.56,38.94,5.94,11.0,57.5,sFGfRP4wPqe,2015,8,2015,24807.0,0.0
2015-09,BzhJzdAGARk,Gihango,1327.0,11.1,1.18,24.3,16.9,12.2,0.54,108.82,87.1,79.5,68.5,sFGfRP4wPqe,2015,9,2015,24807.0,0.0
2015-10,BzhJzdAGARk,Gihango,2331.0,12.6,1.18,23.5,16.2,11.6,0.52,136.44,249.37,142.75,79.3,sFGfRP4wPqe,2015,10,2015,24807.0,0.0
2015-11,BzhJzdAGARk,Gihango,2864.0,12.7,1.18,22.5,15.6,12.1,0.53,150.73,261.85,137.25,82.9,sFGfRP4wPqe,2015,11,2015,24807.0,0.0
2015-12,BzhJzdAGARk,Gihango,3092.0,12.8,1.18,23.0,15.8,11.9,0.45,108.16,372.93,102.0,82.2,sFGfRP4wPqe,2015,12,2015,24807.0,0.0
2016-01,BzhJzdAGARk,Gihango,1970.0,13.1,1.18,23.3,16.5,12.0,0.5,103.74,298.19,128.25,80.4,sFGfRP4wPqe,2016,1,2015,25303.0,0.0
2016-02,BzhJzdAGARk,Gihango,1223.0,13.2,1.18,24.6,17.3,13.4,0.63,68.16,245.59,105.5,76.7,sFGfRP4wPqe,2016,2,2015,25303.0,0.0
2016-03,BzhJzdAGARk,Gihango,928.0,13.8,1.18,24.3,17.6,13.0,0.6,191.7,214.09,142.0,78.2,sFGfRP4wPqe,2016,3,2015,25303.0,0.0
2016-04,BzhJzdAGARk,Gihango,870.0,14.0,1.18,23.9,16.6,13.2,0.67,178.81,302.04,156.25,84.8,sFGfRP4wPqe,2016,4,2015,25303.0,0.0
2016-05,BzhJzdAGARk,Gihango,1147.0,11.6,1.18,23.1,16.7,11.9,0.59,120.42,55.2,134.75,71.9,sFGfRP4wPqe,2016,5,2015,25303.0,0.0
2016-06,BzhJzdAGARk,Gihango,1451.0,9.4,1.18,22.9,16.3,11.6,0.7,28.2,15.78,1.75,63.8,sFGfRP4wPqe,2016,6,2015,25303.0,0.0
