location,time_period,rainfall_era5_lag1,rainfall_era5_lag2,rainfall_era5_lag3,rainfall_era5_lag4,rainfall_era5_lag5,rainfall_era5_lag6,mean_temperature_lag1,mean_temperature_lag2,relative_humidity_lag1,relative_humidity_lag2,relative_humidity_lag3,relative_humidity_lag4,loc_BzhJzdAGARk,loc_CSiOPKW1OQP,loc_EritxSJ4SVG,loc_Fczy0xwaJSy,loc_Gu5PQzqP3oc,irs_level,irs_decay,irs_since,irs_cumulative,tgt_lag1,tgt_lag2,tgt_lag3
BzhJzdAGARk,2025-11,305.83287601706155,178.05858567558272,228.31126158092587,215.57601155138613,261.9851681136946,214.86718485459681,16.92278985295227,17.535440917132863,77.79260737326643,71.8231451117316,77.81495514158242,78.44072602892963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.853817118276992,5.763615838019337,5.6138109878455715
BzhJzdAGARk,2025-12,40.64266894844526,305.83287601706155,178.05858567558272,228.31126158092587,215.57601155138613,261.9851681136946,17.778465044547882,16.92278985295227,70.09661455435595,77.79260737326643,71.8231451117316,77.81495514158242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.853817118276992,5.853817118276992,5.763615838019337
BzhJzdAGARk,2026-01,217.1032737664779,40.64266894844526,305.83287601706155,178.05858567558272,228.31126158092587,215.57601155138613,17.30390670927445,17.778465044547882,73.64839303266557,70.09661455435595,77.79260737326643,71.8231451117316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.853817118276992,5.853817118276992,5.853817118276992
CSiOPKW1OQP,2025-11,180.57755778586716,45.34131752079474,121.02375801356946,100.8763847578674,137.9975454810095,77.40704484723798,19.848707731612947,20.888406092696226,71.85392412816105,61.80842553415212,72.46153119352044,75.56723679182737,0.0,1.0,0.0,0.0,0.0,0.0,0.08838834764831838,14.0,16.6429,3.6870154746028025,3.0923039403826107,3.402170935388103
CSiOPKW1OQP,2025-12,-30.412692664077596,180.57755778586716,45.34131752079474,121.02375801356946,100.8763847578674,137.9975454810095,20.83418058452767,19.848707731612947,62.239581013733634,71.85392412816105,61.80842553415212,72.46153119352044,0.0,1.0,0.0,0.0,0.0,0.0,0.07432544468767001,15.0,16.6429,3.6870154746028025,3.6870154746028025,3.0923039403826107
CSiOPKW1OQP,2026-01,40.66163274952628,-30.412692664077596,180.57755778586716,45.34131752079474,121.02375801356946,100.8763847578674,20.39304068867171,20.83418058452767,64.65616026292237,62.239581013733634,71.85392412816105,61.80842553415212,0.0,1.0,0.0,0.0,0.0,0.0,0.06249999999999995,16.0,16.6429,3.6870154746028025,3.6870154746028025,3.6870154746028025
EritxSJ4SVG,2025-11,113.17253285692816,63.59458873662726,111.13777892982026,97.63918855643188,102.11957819158106,94.59727637174448,21.14950622886847,22.282759086873718,69.31621668768366,59.26741310854042,70.23430472280396,71.22467135741512,0.0,0.0,1.0,0.0,0.0,0.0,0.10511205190671424,13.0,7.0,2.604468499650709,3.1617829527861474,3.648342812880768
EritxSJ4SVG,2025-12,16.5941646074144,113.17253285692816,63.59458873662726,111.13777892982026,97.63918855643188,102.11957819158106,22.079523020031967,21.14950622886847,61.46183939936574,69.31621668768366,59.26741310854042,70.23430472280396,0.0,0.0,1.0,0.0,0.0,0.0,0.08838834764831838,14.0,7.0,2.7495031364372253,2.604468499650709,3.1617829527861474
EritxSJ4SVG,2026-01,51.831830708755255,16.5941646074144,113.17253285692816,63.59458873662726,111.13777892982026,97.63918855643188,21.817756869596742,22.079523020031967,62.408591543987264,61.46183939936574,69.31621668768366,59.26741310854042,0.0,0.0,1.0,0.0,0.0,0.0,0.07432544468767001,15.0,7.0,2.8348724640071397,2.7495031364372253,2.604468499650709
Fczy0xwaJSy,2025-11,722.4096846830394,415.38593440386467,394.2315811702649,432.25215876885295,444.83008676213234,374.59465970106385,13.57022934552476,14.00929787029548,82.19896048913928,76.0552811200797,81.60907599639036,85.31574026484972,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,3.1825171844145705,3.1910370009817557,3.296845722347987
Fczy0xwaJSy,2025-12,244.2988627417853,722.4096846830394,415.38593440386467,394.2315811702649,432.25215876885295,444.83008676213234,14.08375932845754,13.57022934552476,74.82734203195415,82.19896048913928,76.0552811200797,81.60907599639036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,3.1637930004872006,3.1825171844145705,3.1910370009817557
Fczy0xwaJSy,2026-01,245.53105321498117,244.2988627417853,722.4096846830394,415.38593440386467,394.2315811702649,432.25215876885295,13.699831984770421,14.08375932845754,78.66934467938225,74.82734203195415,82.19896048913928,76.0552811200797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,3.121469409801657,3.1637930004872006,3.1825171844145705
Gu5PQzqP3oc,2025-11,432.75266760270125,225.48768683670318,256.2435523158031,277.6909637573765,312.4975469012336,232.73059730989257,18.651194342826564,19.13324278700199,76.96242303092228,70.93084060135801,76.21635237467521,81.31261542519647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.5379888416787315,4.899176459061951,5.130284642601558
Gu5PQzqP3oc,2025-12,378.5439030007814,432.75266760270125,225.48768683670318,256.2435523158031,277.6909637573765,312.4975469012336,19.53936263936203,18.651194342826564,71.02709295804841,76.96242303092228,70.93084060135801,76.21635237467521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.589926234905622,4.5379888416787315,4.899176459061951
Gu5PQzqP3oc,2026-01,137.26289644937953,378.5439030007814,432.75266760270125,225.48768683670318,256.2435523158031,277.6909637573765,18.98131304818338,19.53936263936203,73.87992802555966,71.02709295804841,76.96242303092228,70.93084060135801,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.662031302725146,4.589926234905622,4.5379888416787315
